,seasonal_orders,orders,results
38981,"(4, 2, 4, 4)","(3, 2, 1)",4.7356906957564435
38982,"(5, 2, 2, 2)","(1, 1, 1)",4.728615547556488
38983,"(4, 1, 1, 4)","(1, 1, 2)",4.725288771904723
38984,"(4, 1, 1, 4)","(3, 1, 3)",4.721801288781483
38985,"(4, 1, 3, 4)","(1, 2, 1)",4.707530087694757
38986,"(4, 1, 2, 4)","(2, 1, 2)",4.696584558652698
38987,"(4, 1, 2, 4)","(1, 1, 2)",4.694874254363434
38988,"(4, 2, 4, 4)","(3, 2, 3)",4.6940906934329405
38989,"(5, 2, 4, 4)","(1, 2, 3)",4.688447331558773
38990,"(5, 2, 4, 4)","(1, 2, 2)",4.682618433897457
38991,"(4, 1, 2, 4)","(1, 1, 3)",4.6815806156065785
38992,"(5, 1, 5, 2)","(1, 1, 1)",4.670617597613457
38993,"(4, 2, 3, 5)","(2, 1, 2)",4.667708494876946
38994,"(4, 1, 1, 4)","(3, 1, 2)",4.666022843397868
38995,"(4, 1, 2, 4)","(3, 1, 1)",4.664082435452721
38996,"(4, 1, 5, 5)","(3, 1, 2)",4.663531092326331
38997,"(4, 1, 2, 4)","(3, 1, 2)",4.660687766733023
38998,"(4, 2, 3, 4)","(2, 2, 2)",4.659066170281061
38999,"(4, 1, 2, 4)","(2, 1, 1)",4.657658807980817
39000,"(5, 2, 4, 5)","(2, 1, 2)",4.646224860343013
39001,"(5, 2, 3, 5)","(3, 1, 2)",4.622047942109341
39002,"(4, 1, 5, 5)","(3, 1, 4)",4.617292014164804
39003,"(5, 2, 2, 5)","(3, 1, 2)",4.591766779152662
39004,"(5, 2, 5, 5)","(3, 1, 2)",4.589575649417848
39005,"(5, 2, 4, 5)","(3, 1, 2)",4.578644489000468
39006,"(4, 2, 2, 4)","(2, 2, 2)",4.573466630904102
39007,"(4, 1, 3, 5)","(3, 1, 2)",4.5691354406527935
39008,"(5, 2, 1, 5)","(3, 1, 2)",4.5595725711452415
39009,"(4, 1, 5, 5)","(2, 1, 4)",4.5590605753774955
39010,"(4, 1, 1, 4)","(2, 1, 3)",4.522612910807066
39011,"(5, 2, 2, 4)","(3, 4, 1)",4.513487580957901
39012,"(4, 1, 2, 4)","(3, 1, 3)",4.513089901077021
39013,"(4, 1, 4, 5)","(3, 1, 2)",4.507266979504699
39014,"(4, 1, 2, 5)","(3, 1, 4)",4.494521266031793
39015,"(4, 1, 2, 5)","(3, 1, 2)",4.49308706816504
39016,"(5, 2, 5, 4)","(3, 4, 1)",4.482098892620641
39017,"(4, 1, 3, 5)","(1, 1, 2)",4.472941110189584
39018,"(5, 2, 1, 5)","(2, 1, 2)",4.4672235057524805
39019,"(4, 1, 3, 5)","(2, 1, 4)",4.425469582129881
39020,"(4, 1, 3, 5)","(1, 1, 3)",4.410217785898849
39021,"(4, 1, 1, 2)","(1, 1, 1)",4.408721401652623
39022,"(4, 1, 5, 5)","(2, 1, 2)",4.400730437503837
39023,"(4, 1, 1, 5)","(3, 1, 2)",4.399555131055518
39024,"(4, 1, 3, 5)","(2, 1, 2)",4.391552255203635
39025,"(4, 2, 3, 3)","(2, 1, 2)",4.3915144250567
39026,"(4, 1, 2, 5)","(1, 1, 4)",4.375672196676301
39027,"(4, 1, 3, 5)","(1, 1, 4)",4.369497231703027
39028,"(5, 1, 5, 5)","(3, 1, 3)",4.365257552677305
39029,"(4, 1, 4, 5)","(2, 1, 2)",4.360849241043132
39030,"(4, 1, 3, 5)","(3, 1, 4)",4.34563906310107
39031,"(4, 1, 4, 5)","(3, 1, 4)",4.342950084662911
39032,"(4, 1, 2, 5)","(2, 1, 2)",4.3185303306507805
39033,"(5, 1, 2, 5)","(3, 1, 3)",4.31371891849155
39034,"(4, 1, 2, 5)","(1, 1, 3)",4.304710649005998
39035,"(5, 1, 3, 5)","(3, 1, 3)",4.301380008149674
39036,"(4, 1, 2, 5)","(1, 1, 2)",4.294006758482756
39037,"(4, 1, 1, 5)","(1, 1, 4)",4.2845014391541705
39038,"(4, 2, 5, 4)","(1, 2, 2)",4.277045643108954
39039,"(4, 1, 2, 5)","(2, 1, 3)",4.2729624800191175
39040,"(5, 1, 5, 5)","(2, 1, 3)",4.254503316793588
39041,"(5, 1, 1, 5)","(2, 1, 3)",4.245420431427894
39042,"(4, 1, 1, 5)","(3, 1, 4)",4.239988527178598
39043,"(5, 1, 1, 5)","(3, 1, 3)",4.23689964159546
39044,"(5, 1, 4, 5)","(3, 1, 3)",4.2276627616418505
39045,"(4, 1, 4, 4)","(3, 3, 2)",4.219654064858934
39046,"(4, 1, 5, 5)","(4, 1, 2)",4.217981822436706
39047,"(5, 1, 5, 5)","(4, 1, 2)",4.207262817446527
39048,"(4, 1, 3, 5)","(2, 1, 3)",4.204134603196531
39049,"(5, 1, 4, 5)","(2, 1, 3)",4.200932344382451
39050,"(5, 1, 3, 5)","(4, 1, 2)",4.194359654983048
39051,"(5, 1, 4, 5)","(4, 1, 2)",4.193027782357645
39052,"(5, 1, 2, 5)","(4, 1, 2)",4.191124564205075
39053,"(5, 1, 1, 5)","(4, 1, 2)",4.190014511087525
39054,"(4, 1, 1, 5)","(2, 1, 2)",4.171009987203488
39055,"(5, 1, 3, 5)","(2, 1, 3)",4.170206218462949
39056,"(4, 1, 2, 5)","(3, 1, 3)",4.169371248251861
39057,"(4, 1, 5, 5)","(1, 1, 3)",4.168931597825534
39058,"(4, 1, 3, 5)","(3, 1, 3)",4.1502135250546415
39059,"(4, 1, 3, 5)","(4, 1, 2)",4.136917094801139
39060,"(4, 1, 5, 5)","(1, 1, 2)",4.1236204906050835
39061,"(4, 1, 5, 5)","(1, 1, 4)",4.119460787757624
39062,"(4, 1, 4, 5)","(1, 1, 4)",4.115716339349463
39063,"(4, 1, 4, 5)","(4, 1, 2)",4.101794409953725
39064,"(4, 1, 4, 5)","(3, 1, 3)",4.100030822570301
39065,"(4, 1, 1, 5)","(2, 1, 3)",4.098564238549902
39066,"(4, 1, 5, 5)","(3, 1, 3)",4.096740926343416
39067,"(4, 1, 1, 5)","(1, 1, 3)",4.092849709977236
39068,"(4, 1, 4, 5)","(1, 1, 3)",4.089283945541207
39069,"(5, 1, 1, 2)","(1, 1, 1)",4.0771556834544285
39070,"(5, 1, 1, 3)","(2, 1, 1)",4.057302547769566
39071,"(4, 2, 4, 4)","(1, 3, 2)",4.051454001513622
39072,"(5, 1, 5, 3)","(2, 1, 2)",4.046777968566722
39073,"(4, 1, 2, 5)","(4, 1, 2)",4.046352375362801
39074,"(4, 1, 5, 3)","(1, 1, 2)",4.037745283393506
39075,"(4, 1, 1, 5)","(3, 1, 3)",4.030628856852522
39076,"(4, 1, 5, 5)","(2, 1, 3)",4.024189288579303
39077,"(4, 1, 4, 5)","(1, 1, 2)",4.019068901708887
39078,"(4, 1, 1, 5)","(4, 1, 2)",3.9997106832241665
39079,"(4, 1, 4, 3)","(2, 1, 2)",3.9809413260912176
39080,"(5, 1, 4, 3)","(2, 1, 2)",3.9802752125053575
39081,"(4, 2, 4, 5)","(4, 1, 2)",3.9608267484180106
39082,"(4, 1, 5, 3)","(2, 1, 2)",3.953429989608295
39083,"(4, 2, 3, 5)","(4, 1, 2)",3.951129590295437
39084,"(5, 2, 4, 5)","(4, 1, 2)",3.9437591958003813
39085,"(4, 2, 5, 5)","(4, 1, 2)",3.93600465575406
39086,"(4, 1, 1, 5)","(1, 1, 2)",3.9339534515372816
39087,"(4, 1, 4, 5)","(2, 1, 3)",3.928069932706562
39088,"(4, 2, 1, 5)","(4, 1, 2)",3.924371470524949
39089,"(4, 1, 4, 3)","(1, 1, 2)",3.9240997681935417
39090,"(5, 1, 3, 3)","(2, 1, 1)",3.923938458954728
39091,"(5, 1, 4, 2)","(1, 3, 1)",3.920631392078722
39092,"(5, 2, 2, 5)","(4, 1, 2)",3.918098165691687
39093,"(5, 2, 5, 5)","(4, 1, 2)",3.917534786661855
39094,"(5, 1, 2, 3)","(2, 1, 1)",3.913326340615282
39095,"(4, 2, 2, 5)","(4, 1, 2)",3.905632471251143
39096,"(5, 2, 1, 5)","(4, 1, 2)",3.8922945401300115
39097,"(5, 2, 3, 5)","(4, 1, 2)",3.8853623015018317
39098,"(4, 2, 5, 4)","(1, 2, 3)",3.8620767040617263
39099,"(4, 2, 2, 4)","(1, 3, 2)",3.837474885882756
39100,"(5, 1, 1, 3)","(2, 1, 2)",3.834239618634511
39101,"(4, 1, 3, 4)","(2, 3, 2)",3.83315213026727
39102,"(4, 1, 2, 4)","(3, 3, 2)",3.808168232928888
39103,"(4, 1, 3, 3)","(2, 1, 2)",3.7891184620356735
39104,"(4, 1, 2, 3)","(2, 1, 2)",3.775700643221522
39105,"(4, 1, 3, 3)","(2, 1, 1)",3.7754883599118862
39106,"(4, 2, 2, 4)","(1, 2, 2)",3.7208553086987113
39107,"(4, 2, 4, 4)","(2, 2, 2)",3.7079956290737686
39108,"(4, 1, 2, 4)","(2, 3, 2)",3.706554775495816
39109,"(5, 2, 3, 4)","(3, 4, 1)",3.706113198215716
39110,"(5, 1, 2, 3)","(2, 1, 2)",3.687137371661007
39111,"(4, 1, 1, 3)","(2, 1, 1)",3.5751861354912386
39112,"(4, 2, 3, 4)","(1, 2, 3)",3.3871010720789982
39113,"(5, 1, 3, 3)","(2, 1, 2)",3.3831929276295516
39114,"(4, 1, 5, 2)","(1, 3, 1)",3.3572775348048207
39115,"(4, 1, 2, 3)","(1, 1, 2)",3.282455717269174
39116,"(4, 1, 2, 3)","(2, 1, 1)",3.192732490382072
39117,"(4, 2, 5, 4)","(1, 3, 2)",3.180674044014902
39118,"(4, 1, 1, 4)","(2, 3, 2)",3.1207709195850164
39119,"(4, 1, 1, 3)","(2, 1, 2)",3.0144516586727805
39120,"(4, 2, 3, 4)","(3, 2, 3)",2.8532276241267835
39121,"(4, 2, 3, 4)","(1, 2, 2)",2.7669716321495104
39122,"(4, 2, 3, 4)","(1, 3, 2)",2.762400313229241
39123,"(4, 2, 1, 4)","(1, 2, 3)",2.5909510638212434
39124,"(4, 2, 3, 4)","(2, 2, 3)",2.4880913104349833
